Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Ntholowa Health Centre,67,1004,Regimen 5A,,0.0,Q1 2025
Ntholowa Health Centre,68,1004,Regimen 6A,,0.0,Q1 2025
Ntholowa Health Centre,69,1004,Regimen 7A,,0.0,Q1 2025
Ntholowa Health Centre,70,1004,Regimen 8A,,0.0,Q1 2025
Ntholowa Health Centre,71,1004,Regimen 9PP,,0.0,Q1 2025
Ntholowa Health Centre,71,1004,Regimen 9PA,,0.0,Q1 2025
Ntholowa Health Centre,71,1004,Regimen 9A,,0.0,Q1 2025
Ntholowa Health Centre,72,1004,Regimen 10A,,0.0,Q1 2025
Ntholowa Health Centre,73,1004,Regimen 11PP,,0.0,Q1 2025
Ntholowa Health Centre,73,1004,Regimen 11PA,,0.0,Q1 2025
Ntholowa Health Centre,73,1004,Regimen 11A,,0.0,Q1 2025
Ntholowa Health Centre,74,1004,Regimen 12PP,,0.0,Q1 2025
Ntholowa Health Centre,74,1004,Regimen 12PA,,0.0,Q1 2025
Ntholowa Health Centre,74,1004,Regimen 12A,,0.0,Q1 2025
Ntholowa Health Centre,75,1004,Regimen 13A,,849.0,Q1 2025
Ntholowa Health Centre,76,1004,Regimen 14PP,,0.0,Q1 2025
Ntholowa Health Centre,76,1004,Regimen 14PA,,0.0,Q1 2025
Ntholowa Health Centre,76,1004,Regimen 14A,,6.0,Q1 2025
Ntholowa Health Centre,77,1004,Regimen 15PP,,5.0,Q1 2025
Ntholowa Health Centre,77,1004,Regimen 15PA,,7.0,Q1 2025
Ntholowa Health Centre,77,1004,Regimen 15A,,13.0,Q1 2025
Ntholowa Health Centre,78,1004,Regimen 16A,,0.0,Q1 2025
Ntholowa Health Centre,78,1004,Regimen 16P,,0.0,Q1 2025
Ntholowa Health Centre,79,1004,Regimen 17PP,,0.0,Q1 2025
Ntholowa Health Centre,79,1004,Regimen 17PA,,0.0,Q1 2025
Ntholowa Health Centre,79,1004,Regimen 17A,,0.0,Q1 2025
Ntholowa Health Centre,80,1004,Other (paed./adult),,1.0,Q1 2025
Ntholowa Health Centre,81,1004,Pregnant (as of the last visit before end of quarter),,19.0,Q1 2025
Ntholowa Health Centre,82,1004,Breastfeeding (as of the last visit before end of quarter),,97.0,Q1 2025
Ntholowa Health Centre,83,1004,All others (not circled) (as of the last visit before end of quarter),,765.0,Q1 2025
Ntholowa Health Centre,84,1004,TB not suspected (as of the last visit before end of quarter),,870.0,Q1 2025
Ntholowa Health Centre,85,1004,TB suspected (as of the last visit before end of quarter),,4.0,Q1 2025
Ntholowa Health Centre,86,1004,"TB conf., not on Rx (as of the last visit before end of quarter)",,3.0,Q1 2025
Ntholowa Health Centre,87,1004,"TB conf., on Rx (as of the last visit before end of quarter)",,1.0,Q1 2025
Ntholowa Health Centre,88,1004,TB - Unknown (not circled) (as of the last visit before end of quarter),,3.0,Q1 2025
Ntholowa Health Centre,89,1004,Side effects - None (as of the last visit before end of quarter),,866.0,Q1 2025
Ntholowa Health Centre,91,1004,Side effects - Unknown (not circled) (as of the last visit before end of quarter),,15.0,Q1 2025
Ntholowa Health Centre,92,1004,Adherence:  0 - 3 doses missed (as of the last visit before end of quarter),,511.0,Q1 2025
Ntholowa Health Centre,93,1004,Adherence:  4+ doses missed (as of the last visit before end of quarter),,360.0,Q1 2025
Ntholowa Health Centre,94,1004,Adherence - Unknown (not circled) (as of the last visit before end of quarter),,10.0,Q1 2025
Ntholowa Health Centre,97,1004,PIFP: Approx. % of women who received Depo at ART in the last quarter,,36.0,Q1 2025
Ntholowa Health Centre,98,1004,BP screen: Approx. % of adult ART patients with BP recorded at least once this year,,16.0,Q1 2025
Ntholowa Health Centre,96,1004,IPT: Approx. % of patients retained in ART who are currently on IPT,,0.0,Q1 2025
Ntholowa Health Centre,96,1004,CPT: Approx. % of patients retained in ART who are currently on CPT,,47.0,Q1 2025
Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Sister Martha Hospital Mangochi,25,1006,total_registered,4.0,740.0,Q1 2025
Sister Martha Hospital Mangochi,26,1006,FT_patients_initiated - Male,0.0,186.0,Q1 2025
Sister Martha Hospital Mangochi,27,1006,FT_patients_initiated - Female Non-pregnant,2.0,304.0,Q1 2025
Sister Martha Hospital Mangochi,28,1006,FT_patients_initiated - Female Pregnant,0.0,82.0,Q1 2025
Sister Martha Hospital Mangochi,31,1006,Re_patients_reinitiated_on_ART,0.0,1.0,Q1 2025
Sister Martha Hospital Mangochi,32,1006,TI_patients_transfered_in_on_ART,2.0,167.0,Q1 2025
Sister Martha Hospital Mangochi,33,1006,Male (all ages),1.0,233.0,Q1 2025
Sister Martha Hospital Mangochi,34,1006,Non-pregnant Females (all ages),3.0,382.0,Q1 2025
