site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
16,Bangwe Health Centre,TX_CURR_MMD,Unknown,65-69 years,2025-08-26 01:24:06.576906+00:00,0,1,0
16,Bangwe Health Centre,TX_CURR_MMD,Male,30-34 years,2025-08-26 01:24:06.576906+00:00,9,112,62
16,Bangwe Health Centre,TX_CURR_MMD,Male,65-69 years,2025-08-26 01:24:06.576906+00:00,1,31,22
16,Bangwe Health Centre,TX_CURR_MMD,Male,70-74 years,2025-08-26 01:24:06.576906+00:00,0,23,16
16,Bangwe Health Centre,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.576906+00:00,4,102,63
16,Bangwe Health Centre,TX_CURR_MMD,Female,70-74 years,2025-08-26 01:24:06.576906+00:00,0,12,10
16,Bangwe Health Centre,TX_CURR_MMD,Female,15-19 years,2025-08-26 01:24:06.576906+00:00,16,94,5
16,Bangwe Health Centre,TX_CURR_MMD,Female,55-59 years,2025-08-26 01:24:06.576906+00:00,6,92,50
16,Bangwe Health Centre,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.576906+00:00,101,1446,823
16,Bangwe Health Centre,TX_CURR_MMD,Male,1-4 years,2025-08-26 01:24:06.576906+00:00,4,4,4
16,Bangwe Health Centre,TX_CURR_MMD,Male,<1 years,2025-08-26 01:24:06.576906+00:00,1,1,1
16,Bangwe Health Centre,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.576906+00:00,32,347,166
16,Bangwe Health Centre,TX_CURR_MMD,Female,60-64 years,2025-08-26 01:24:06.576906+00:00,2,54,33
16,Bangwe Health Centre,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.576906+00:00,16,249,156
16,Bangwe Health Centre,TX_CURR_MMD,Female,1-4 years,2025-08-26 01:24:06.576906+00:00,0,5,6
16,Bangwe Health Centre,TX_CURR_MMD,FP,All,2025-08-26 01:24:06.576906+00:00,15,119,56
16,Bangwe Health Centre,TX_CURR_MMD,Male,20-24 years,2025-08-26 01:24:06.576906+00:00,10,55,30
16,Bangwe Health Centre,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.576906+00:00,4,181,114
16,Bangwe Health Centre,TX_CURR_MMD,Female,10-14 years,2025-08-26 01:24:06.576906+00:00,6,61,3
16,Bangwe Health Centre,TX_CURR_MMD,Female,65-69 years,2025-08-26 01:24:06.576906+00:00,0,24,12
16,Bangwe Health Centre,TX_CURR_MMD,Male,25-29 years,2025-08-26 01:24:06.576906+00:00,9,68,30
16,Bangwe Health Centre,TX_CURR_MMD,Female,5-9 years,2025-08-26 01:24:06.576906+00:00,4,12,15
16,Bangwe Health Centre,TX_CURR_MMD,Female,40-44 years,2025-08-26 01:24:06.576906+00:00,24,452,248
16,Bangwe Health Centre,TX_CURR_MMD,Female,80-84 years,2025-08-26 01:24:06.576906+00:00,0,3,1
16,Bangwe Health Centre,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.576906+00:00,12,318,185
16,Bangwe Health Centre,TX_CURR_MMD,FBF,All,2025-08-26 01:24:06.576906+00:00,52,188,4
16,Bangwe Health Centre,TX_CURR_MMD,Unknown,All,2025-08-26 01:24:06.576906+00:00,0,2,0
16,Bangwe Health Centre,TX_CURR_MMD,Male,90 plus years,2025-08-26 01:24:06.576906+00:00,0,0,1
16,Bangwe Health Centre,TX_CURR_MMD,Unknown,40-44 years,2025-08-26 01:24:06.576906+00:00,0,1,0
16,Bangwe Health Centre,TX_CURR_MMD,Male,15-19 years,2025-08-26 01:24:06.576906+00:00,5,81,8
site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
193,Jalasi Health Centre,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.594725+00:00,6,28,152
193,Jalasi Health Centre,TX_CURR_MMD,Male,35-39 years,2025-08-26 01:24:06.594725+00:00,0,9,23
193,Jalasi Health Centre,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.594725+00:00,0,5,46
193,Jalasi Health Centre,TX_CURR_MMD,Male,5-9 years,2025-08-26 01:24:06.594725+00:00,0,7,6
193,Jalasi Health Centre,TX_CURR_MMD,Male,75-79 years,2025-08-26 01:24:06.594725+00:00,0,0,4
